Name,Address,LinkOfInstitute,LOGO
ALICE LLOYD COLLEGE,"100 Purpose RoadPippa Passes, KY 41844-8884(606) 368-6036",https://thenccaa.org/sports/2016/5/31/Alice_Lloyd_College.aspx?id=435&,https://thenccaa.org/common/controls/image_handler.aspx?thumb_id=14&image_path=/images/2018/2/20/logo_website.png
APPALACHIAN BIBLE COLLEGE,"161 College DriveMount Hope, WV 25880-9554(304) 877-6428",https://thenccaa.org/sports/2016/5/31/Appalachian_Bible_College.aspx?id=436&,https://thenccaa.org/common/controls/image_handler.aspx?thumb_id=0&image_path=/images/2020/9/10/ABC_Athletics_LOGO_RGB.png
ARLINGTON BAPTIST UNIVERSITY,"3001 West Division StreetArlington, TX 76012-3425(817) 461-8741",https://thenccaa.org/sports/2016/5/31/Arlington_Baptist_College.aspx?id=437&,https://thenccaa.org/common/controls/image_handler.aspx?thumb_id=13&image_path=/images/2017/6/29/AB_cropped.png
ASBURY UNIVERSITY,"1 Macklem DriveWilmore, KY 40390(859) 858-3511",https://thenccaa.org/sports/2021/6/23/Asbury_University.aspx,https://thenccaa.org/common/controls/image_handler.aspx?thumb_id=0&image_path=/images/2021/6/23/AU_adjusted_PNG.png
ASBURY UNIVERSITY,"1 Macklem DriveWilmore, KY 40390(859) 858-3511",https://thenccaa.org/sports/2021/6/23/Asbury_University.aspx,https://thenccaa.org/common/controls/image_handler.aspx?thumb_id=0&image_path=/images/2021/6/23/AU_adjusted_PNG.png
ASBURY UNIVERSITY,"1 Macklem DriveWilmore, KY 40390(859) 858-3511",https://thenccaa.org/sports/2021/6/23/Asbury_University.aspx,https://thenccaa.org/common/controls/image_handler.aspx?thumb_id=0&image_path=/images/2021/6/23/AU_adjusted_PNG.png
BAPTIST BIBLE COLLEGE,"628 East Kearney StreetSpringfield, MO 65803-3426(417) 268-6000",https://thenccaa.org/sports/2016/5/31/Baptist_Bible_College.aspx,https://thenccaa.org/common/controls/image_handler.aspx?thumb_id=0&image_path=/images/2021/6/23/Patriot_Head.png
BARCLAY COLLEGE,"607 North Kingman StreetHaviland, KS 67059-9558(620) 862-5252",https://thenccaa.org/sports/2016/5/31/Barclay_College.aspx?id=439&,https://thenccaa.org/common/controls/image_handler.aspx?thumb_id=15&image_path=/images/2016/5/31/Barclay12.jpg
BETHEL UNIVERSITY,"1001 Bethel CircleMishawaka, IN 46545-2232(574) 807-7000",https://thenccaa.org/sports/2016/6/1/Bethel_College.aspx,https://thenccaa.org/common/controls/image_handler.aspx?thumb_id=0&image_path=/images/2019/5/10/BU_Primary_FC.png
BETHESDA UNIVERSITY,"730 North Euclid StreetAnaheim, CA 92801-4115(714) 517-1945",https://thenccaa.org/sports/2016/6/1/Bethesda_University.aspx?id=442&,https://thenccaa.org/common/controls/image_handler.aspx?thumb_id=0&image_path=/images/2021/7/1/IMG_7083.PNG
BOB JONES UNIVERSITY,"1700 Wade Hampton BoulevardGreenville, SC 29614-1000(864) 770-1330",https://thenccaa.org/sports/2016/6/1/Bob_Jones_University.aspx?id=444&,https://thenccaa.org/common/controls/image_handler.aspx?thumb_id=15&image_path=/images/2016/6/1/BJU_Bruins_logo_reg_5x5.jpg
BOYCE COLLEGE,"2825 Lexington RoadLouisville, KY 40280-0001(502) 897-4720",https://thenccaa.org/sports/2016/6/1/Boyce_College.aspx?id=445&,https://thenccaa.org/common/controls/image_handler.aspx?thumb_id=15&image_path=/images/2017/6/30/Boyce_Bulldog_only_4c.jpg
BOYCE COLLEGE,"2825 Lexington RoadLouisville, KY 40280-0001(502) 897-4720",https://thenccaa.org/sports/2016/6/1/Boyce_College.aspx?id=445&,https://thenccaa.org/common/controls/image_handler.aspx?thumb_id=15&image_path=/images/2017/6/30/Boyce_Bulldog_only_4c.jpg
BOYCE COLLEGE,"2825 Lexington RoadLouisville, KY 40280-0001(502) 897-4720",https://thenccaa.org/sports/2016/6/1/Boyce_College.aspx?id=445&,https://thenccaa.org/common/controls/image_handler.aspx?thumb_id=15&image_path=/images/2017/6/30/Boyce_Bulldog_only_4c.jpg
CAIRN UNIVERSITY,"200 Manor AvenueLanghorne, PA 19047-2942(215) 702-4235",https://thenccaa.org/sports/2016/6/1/Cairn_University.aspx?id=446&,https://thenccaa.org/common/controls/image_handler.aspx?thumb_id=0&image_path=/images/2016/6/1/CairnHighlander_logo_2016.jpg
CALVARY UNIVERSITY,"15800 Calvary RoadKansas City, MO 64147(816) 425-6156",https://thenccaa.org/sports/2017/7/7/Calvary_University.aspx?id=669&,https://thenccaa.org/common/controls/image_handler.aspx?thumb_id=15&image_path=/images/2017/7/7/CUMain_adjusted_.png
CAMPBELLSVILLE UNIVERSITY,"1 University DriveCampbellsville, KY 42718-2799(270) 789-5000",https://thenccaa.org/sports/2016/6/1/Campbellsville_University.aspx?id=448&,https://thenccaa.org/common/controls/image_handler.aspx?thumb_id=12&image_path=/images/2016/6/1/Campbellsville_Univ_tiger_4c_2_.jpg
CAMPBELLSVILLE UNIVERSITY HARRODSBURG,"1150 Danville RoadHarrodsburg, KY 40330(859) 605-1389",https://thenccaa.org/sports/2019/6/24/CU_Harrodsburg.aspx,https://thenccaa.org/common/controls/image_handler.aspx?thumb_id=0&image_path=/images/2019/9/12/Campbellsville_University_Harrodsburg.png
CAROLINA UNIVERSITY,"420 South Broad StreetWinston Salem, NC 27101-5025(336) 725-8344",https://thenccaa.org/sports/2016/6/7/Piedmont_International_University.aspx,https://thenccaa.org/common/controls/image_handler.aspx?thumb_id=0&image_path=/images/2020/8/27/Carolina_University_Bruins_Head.png
CARVER COLLEGE,"3870 Cascade Road SWAtlanta, GA 30331-2184(404) 527-4520",https://thenccaa.org/sports/2016/6/1/Carver_College.aspx?id=449&,https://thenccaa.org/common/controls/image_handler.aspx?thumb_id=14&image_path=/images/2016/6/1/Carver_Mascot.png
CEDARVILLE UNIVERSITY,"251 North Main St.Cedarville, OH 45314-8501(937) 766-7768",https://thenccaa.org/sports/2016/6/1/Cedarville_University.aspx?id=450&,https://thenccaa.org/common/controls/image_handler.aspx?thumb_id=15&image_path=/images/2016/6/1/Cedarville_new09.jpg
CENTRAL CHRISTIAN COLLEGE OF KANSAS,"1200 S. Main StreetMcPherson, KS 67460-5740(620) 241-0723",https://thenccaa.org/sports/2016/6/1/Central_Christian_College_of_Kansas.aspx?id=452&,https://thenccaa.org/common/controls/image_handler.aspx?thumb_id=13&image_path=/images/2017/6/30/CENTRAL_CHRISTIAN_C_OF_KS_LOGO_adjusted_.jpg
CENTRAL CHRISTIAN COLLEGE OF THE BIBLE,"911 East Urbandale DriveMoberly, MO 65270-1923(660) 263-3900",https://thenccaa.org/sports/2016/6/1/Central_Christian_College_of_the_Bible.aspx?id=453&,https://thenccaa.org/common/controls/image_handler.aspx?thumb_id=0&image_path=/images/2020/3/23/cc_saints_torch_logo_2017.png
CHAMPION CHRISTIAN COLLEGE,"600 Garland AvenueHot Springs, AR 71913(501) 623-2272",https://thenccaa.org/sports/2018/6/21/Champion_Christian_College.aspx,https://thenccaa.org/common/controls/image_handler.aspx?thumb_id=0&image_path=/images/2018/6/21/Official_Tiger.png
COLLEGE OF THE OZARKS,"100 Opportunity AvenuePoint Lookout, MO 65726(800) 222-0525",https://thenccaa.org/sports/2016/6/29/College_of_the_Ozarks.aspx?id=543&,https://thenccaa.org/common/controls/image_handler.aspx?thumb_id=0&image_path=/images/2018/8/8/BobcatHead_maroon.png
COLUMBIA INTERNATIONAL UNIVERSITY,"7435 Monticello RoadColumbia, SC 29203-1513(803) 754-4100",https://thenccaa.org/sports/2016/6/1/Columbia_International_University.aspx?id=457&,https://thenccaa.org/common/controls/image_handler.aspx?thumb_id=0&image_path=/images/2020/9/1/CIU_Rams_primary_RGB2.png
CONCORDIA UNIVERSITY ANN ARBOR,"4090 Geddes Rd.Ann Arbor, MI 48105(734) 995-7310",https://thenccaa.org/sports/2017/7/24/Concordia_University_Ann_Arbor.aspx?id=680&,https://thenccaa.org/common/controls/image_handler.aspx?thumb_id=0&image_path=/images/2021/8/16/cuaa_logo_rgb.png
CROWN COLLEGE,"8700 College View DriveSaint Bonifacius, MN 55375(952) 446-4100",https://thenccaa.org/sports/2021/7/22/Crown_College.aspx,https://thenccaa.org/common/controls/image_handler.aspx?thumb_id=14&image_path=/images/2021/7/22/Storm_Primary_Horizontal.png
CROWN COLLEGE,"8700 College View DriveSaint Bonifacius, MN 55375(952) 446-4100",https://thenccaa.org/sports/2021/7/22/Crown_College.aspx,https://thenccaa.org/common/controls/image_handler.aspx?thumb_id=14&image_path=/images/2021/7/22/Storm_Primary_Horizontal.png
CROWN COLLEGE,"8700 College View DriveSaint Bonifacius, MN 55375(952) 446-4100",https://thenccaa.org/sports/2021/7/22/Crown_College.aspx,https://thenccaa.org/common/controls/image_handler.aspx?thumb_id=14&image_path=/images/2021/7/22/Storm_Primary_Horizontal.png
DALLAS BAPTIST UNIVERSITY,"3000 Mountain Creek ParkwayDallas, TX 75211-6700(214) 333-5360",https://thenccaa.org/sports/2016/6/1/Dallas_Baptist_University.aspx?id=460&,https://thenccaa.org/common/controls/image_handler.aspx?thumb_id=0&image_path=/images/2016/7/11/DBU_Arched_16_17.jpg
DALLAS CHRISTIAN COLLEGE,"2700 Christian ParkwayDallas, TX 75234-7229(972) 241-3371",https://thenccaa.org/sports/2016/6/1/Dallas_Christian_College.aspx?id=461&,https://thenccaa.org/common/controls/image_handler.aspx?thumb_id=0&image_path=/images/2018/8/6/DCC_Athletic_Logo.png
DALLAS CHRISTIAN COLLEGE,"2700 Christian ParkwayDallas, TX 75234-7229(972) 241-3371",https://thenccaa.org/sports/2016/6/1/Dallas_Christian_College.aspx?id=461&,https://thenccaa.org/common/controls/image_handler.aspx?thumb_id=0&image_path=/images/2018/8/6/DCC_Athletic_Logo.png
DALLAS CHRISTIAN COLLEGE,"2700 Christian ParkwayDallas, TX 75234-7229(972) 241-3371",https://thenccaa.org/sports/2016/6/1/Dallas_Christian_College.aspx?id=461&,https://thenccaa.org/common/controls/image_handler.aspx?thumb_id=0&image_path=/images/2018/8/6/DCC_Athletic_Logo.png
ECCLESIA COLLEGE,"9653 Nations DriveSpringdale, AR 72762-8159(479) 248-7236",https://thenccaa.org/sports/2016/6/1/Ecclesia_College.aspx?id=462&,https://thenccaa.org/common/controls/image_handler.aspx?thumb_id=0&image_path=/images/2017/7/3/Ecclesia_Athletics_adjusted_.png
EMMAUS BIBLE COLLEGE,"2570 Asbury RoadDubuque, IA 52001(563) 588-8000",https://thenccaa.org/sports/2017/7/7/Emmaus_Bible_College.aspx?id=670&,https://thenccaa.org/common/controls/image_handler.aspx?thumb_id=0&image_path=/images/2021/9/7/Emmaus_Bible_College.png
ERSKINE COLLEGE,"2 Washington StreetDue West, SC 29639(864) 379-2131",https://thenccaa.org/sports/2018/6/21/Erskine_College.aspx,https://thenccaa.org/common/controls/image_handler.aspx?thumb_id=0&image_path=/images/2018/6/21/outlinehead.png
ERSKINE COLLEGE,"2 Washington StreetDue West, SC 29639(864) 379-2131",https://thenccaa.org/sports/2018/6/21/Erskine_College.aspx,https://thenccaa.org/common/controls/image_handler.aspx?thumb_id=0&image_path=/images/2018/6/21/outlinehead.png
ERSKINE COLLEGE,"2 Washington StreetDue West, SC 29639(864) 379-2131",https://thenccaa.org/sports/2018/6/21/Erskine_College.aspx,https://thenccaa.org/common/controls/image_handler.aspx?thumb_id=0&image_path=/images/2018/6/21/outlinehead.png
FAITH BAPTIST BIBLE COLLEGE,"1900 Northwest 4th StreetAnkeny, IA 50023-2152(515) 964-0601",https://thenccaa.org/sports/2016/6/2/Faith_Baptist_Bible_College.aspx?id=464&,https://thenccaa.org/common/controls/image_handler.aspx?thumb_id=0&image_path=/images/2019/11/13/Faith_new_.png
FAITH BAPTIST BIBLE COLLEGE,"1900 Northwest 4th StreetAnkeny, IA 50023-2152(515) 964-0601",https://thenccaa.org/sports/2016/6/2/Faith_Baptist_Bible_College.aspx?id=464&,https://thenccaa.org/common/controls/image_handler.aspx?thumb_id=0&image_path=/images/2019/11/13/Faith_new_.png
FAITH BAPTIST BIBLE COLLEGE,"1900 Northwest 4th StreetAnkeny, IA 50023-2152(515) 964-0601",https://thenccaa.org/sports/2016/6/2/Faith_Baptist_Bible_College.aspx?id=464&,https://thenccaa.org/common/controls/image_handler.aspx?thumb_id=0&image_path=/images/2019/11/13/Faith_new_.png
GENEVA COLLEGE,"3200 College AvenueBeaver Falls, PA 15010(724) 846-5100",https://thenccaa.org/sports/2018/6/21/Geneva_College.aspx,https://thenccaa.org/common/controls/image_handler.aspx?thumb_id=0&image_path=/images/2018/6/21/Tornado_2018_Final_FullColor.png
GRACE CHRISTIAN UNIVERSITY,"1011 Aldon Street SouthwestGrand Rapids, MI 49509-1921(616) 538-2330",https://thenccaa.org/sports/2016/6/2/Grace_Bible_College.aspx,https://thenccaa.org/common/controls/image_handler.aspx?thumb_id=0&image_path=/images/2018/7/9/Grace_Athletics_Logo1_full_trueblack.png
GRACE COLLEGE,"1 Lancer WayWinona Lake, IN 46590-1224(574) 372-5100",https://thenccaa.org/sports/2016/6/2/Grace_College.aspx?id=466&,https://thenccaa.org/common/controls/image_handler.aspx?thumb_id=15&image_path=/images/2018/6/5/grace_lancers_logo_rgb.png
GREAT LAKES CHRISTIAN COLLEGE,"6211 West Willow HighwayLansing, MI 48917-1299(517) 321-0242",https://thenccaa.org/sports/2016/6/2/Great_Lakes_Christian_College.aspx?id=468&,https://thenccaa.org/common/controls/image_handler.aspx?thumb_id=0&image_path=/images/2018/8/6/GLCC_Athletics.png
GREENVILLE UNIVERSITY,"315 East College AvenueGreenville, IL 62246-1145(618) 664-2800",https://thenccaa.org/sports/2016/6/2/Greenville_College.aspx?id=469&,https://thenccaa.org/common/controls/image_handler.aspx?thumb_id=15&image_path=/images/2017/7/5/Panther_Head.png
GREENVILLE UNIVERSITY,"315 East College AvenueGreenville, IL 62246-1145(618) 664-2800",https://thenccaa.org/sports/2016/6/2/Greenville_College.aspx?id=469&,https://thenccaa.org/common/controls/image_handler.aspx?thumb_id=15&image_path=/images/2017/7/5/Panther_Head.png
GREENVILLE UNIVERSITY,"315 East College AvenueGreenville, IL 62246-1145(618) 664-2800",https://thenccaa.org/sports/2016/6/2/Greenville_College.aspx?id=469&,https://thenccaa.org/common/controls/image_handler.aspx?thumb_id=15&image_path=/images/2017/7/5/Panther_Head.png
HANNIBAL-LAGRANGE UNIVERSITY,"2800 Palmyra RoadHannibal, MO 63401(573) 221-3675",https://thenccaa.org/sports/2018/6/21/Hannibal-LaGrange_University.aspx,https://thenccaa.org/common/controls/image_handler.aspx?thumb_id=0&image_path=/images/2018/6/21/HLGU_FullTrojan.png
HOUGHTON COLLEGE,"1 Willard AvenueHoughton, NY 14744-8732(800) 777-2556",https://thenccaa.org/sports/2016/6/2/Houghton_College.aspx?id=474&,https://thenccaa.org/common/controls/image_handler.aspx?thumb_id=15&image_path=/images/2016/6/2/HOUGHTON11.jpg
HUNTINGTON UNIVERSITY,"2303 College AvenueHuntington, IN 46750-1237(260) 356-6000",https://thenccaa.org/sports/2016/6/2/Huntington%20University.aspx?id=475&,https://thenccaa.org/common/controls/image_handler.aspx?thumb_id=15&image_path=/images/2016/6/2/Huntingtontwo09.jpg
HUNTINGTON UNIVERSITY,"2303 College AvenueHuntington, IN 46750-1237(260) 356-6000",https://thenccaa.org/sports/2016/6/2/Huntington%20University.aspx?id=475&,https://thenccaa.org/common/controls/image_handler.aspx?thumb_id=15&image_path=/images/2016/6/2/Huntingtontwo09.jpg
HUNTINGTON UNIVERSITY,"2303 College AvenueHuntington, IN 46750-1237(260) 356-6000",https://thenccaa.org/sports/2016/6/2/Huntington%20University.aspx?id=475&,https://thenccaa.org/common/controls/image_handler.aspx?thumb_id=15&image_path=/images/2016/6/2/Huntingtontwo09.jpg
JOHNSON UNIVERSITY FLORIDA,"1011 Bill Beck BoulevardKissimmee, FL 34744-4402(407) 847-8966",https://thenccaa.org/sports/2016/6/2/Johnson_University_Florida.aspx?id=477&,https://thenccaa.org/common/controls/image_handler.aspx?thumb_id=0&image_path=/images/2020/9/1/JU_Suns_Primary_Logo_CMYK_Color2.png
JOHNSON UNIVERSITY TENNESSEE,"7900 Johnson DriveKnoxville, TN 37998-0001(865) 251-2200",https://thenccaa.org/sports/2016/6/2/Johnson_University_Tennessee.aspx?id=478&,https://thenccaa.org/common/controls/image_handler.aspx?thumb_id=0&image_path=/images/2019/12/16/Screenshot_63_.png
JUDSON UNIVERSITY,"1151 North State StreetElgin, IL 60123-1404(847) 628-2500",https://thenccaa.org/sports/2016/6/2/Judson_University.aspx?id=480&,https://thenccaa.org/common/controls/image_handler.aspx?thumb_id=0&image_path=/images/2020/1/30/JUDSON_EAGLES_Stacked_logo.png
JUDSON UNIVERSITY,"1151 North State StreetElgin, IL 60123-1404(847) 628-2500",https://thenccaa.org/sports/2016/6/2/Judson_University.aspx?id=480&,https://thenccaa.org/common/controls/image_handler.aspx?thumb_id=0&image_path=/images/2020/1/30/JUDSON_EAGLES_Stacked_logo.png
JUDSON UNIVERSITY,"1151 North State StreetElgin, IL 60123-1404(847) 628-2500",https://thenccaa.org/sports/2016/6/2/Judson_University.aspx?id=480&,https://thenccaa.org/common/controls/image_handler.aspx?thumb_id=0&image_path=/images/2020/1/30/JUDSON_EAGLES_Stacked_logo.png
KANSAS CHRISTIAN COLLEGE,"7401 MetcalfOverland Park, KS 66204(913) 722-0272",https://thenccaa.org/sports/2016/6/29/Kansas_Christian_College.aspx?id=538&,https://thenccaa.org/common/controls/image_handler.aspx?thumb_id=0&image_path=/images/2020/9/22/Kansas_Christian_College_Sports_PNG_.png
KENTUCKY CHRISTIAN UNIVERSITY,"100 Academic ParkwayGrayson, KY 41143-2205(606) 474-3000",https://thenccaa.org/sports/2016/6/2/Kentucky_Christian_University.aspx?id=481&,https://thenccaa.org/common/controls/image_handler.aspx?thumb_id=14&image_path=/images/2016/6/2/KentuckyChristian09.jpg
KENTUCKY CHRISTIAN UNIVERSITY,"100 Academic ParkwayGrayson, KY 41143-2205(606) 474-3000",https://thenccaa.org/sports/2016/6/2/Kentucky_Christian_University.aspx?id=481&,https://thenccaa.org/common/controls/image_handler.aspx?thumb_id=14&image_path=/images/2016/6/2/KentuckyChristian09.jpg
KENTUCKY CHRISTIAN UNIVERSITY,"100 Academic ParkwayGrayson, KY 41143-2205(606) 474-3000",https://thenccaa.org/sports/2016/6/2/Kentucky_Christian_University.aspx?id=481&,https://thenccaa.org/common/controls/image_handler.aspx?thumb_id=14&image_path=/images/2016/6/2/KentuckyChristian09.jpg
LANCASTER BIBLE COLLEGE,"901 Eden RoadLancaster, PA 17601-5036(717) 569-7071",https://thenccaa.org/sports/2016/6/3/Lancaster_Bible_College.aspx?id=482&,https://thenccaa.org/common/controls/image_handler.aspx?thumb_id=0&image_path=/images/2016/6/3/LancasterBible09.jpg
LINCOLN CHRISTIAN UNIVERSITY,"100 Campus View DriveLincoln, IL 62656-2111(217) 732-3168",https://thenccaa.org/sports/2016/6/3/Lincoln_Christian_University.aspx?id=486&,https://thenccaa.org/common/controls/image_handler.aspx?thumb_id=0&image_path=/images/2020/3/30/03_Red_Lion_Mascot_PMS_1807.png
LINCOLN CHRISTIAN UNIVERSITY,"100 Campus View DriveLincoln, IL 62656-2111(217) 732-3168",https://thenccaa.org/sports/2016/6/3/Lincoln_Christian_University.aspx?id=486&,https://thenccaa.org/common/controls/image_handler.aspx?thumb_id=0&image_path=/images/2020/3/30/03_Red_Lion_Mascot_PMS_1807.png
LINCOLN CHRISTIAN UNIVERSITY,"100 Campus View DriveLincoln, IL 62656-2111(217) 732-3168",https://thenccaa.org/sports/2016/6/3/Lincoln_Christian_University.aspx?id=486&,https://thenccaa.org/common/controls/image_handler.aspx?thumb_id=0&image_path=/images/2020/3/30/03_Red_Lion_Mascot_PMS_1807.png
